Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
1055	apparently av0		750
1056	properly av0		750
1057	none pni		749
1058	machine nn1		748
1059	beginning nn1		747
1060	brought vvn		746
1061	bring vvb		745
1062	shut vvb		745
1063	afford vvi		743
1064	quick aj0		743
1065	authorities nn2		742
1066	stand vvi		741
1067	college nn1		740
1068	seventeen crd		739
1069	pressure nn1		738
1070	wait vvb		736
1071	other aj0-nn1		735
1072	rid vvn		735
1073	necessary aj0		734
1074	result nn1		734
1075	write vvb		733
1076	per prp		732
1077	son nn1		732
1078	spend vvi		730
1079	waiting vvg		730
1080	cases nn2		729
1081	political aj0		729
1082	depends vvz		727
1083	worse ajc		727
1084	colleagues nn2		726
1085	common aj0		726
1086	wish vvb		726
1087	lunch nn1		724
1088	beautiful aj0		723
1089	due aj0		723
1090	cent unc		722
1091	choice nn1		722
1092	chris np0		722
1093	park nn1		721
1094	seeing vvg		721
1095	deal nn1		719
1096	move vvb		719
1097	similar aj0		718
1098	central aj0		717
1099	d' vdb		717
1100	y zz0		717
1101	worked vvd		716
1102	carry vvi		715
1103	expensive aj0		715
1104	summer nn1		715
1105	west nn1		715
1106	fish nn0		711
1107	pension nn1		710
1108	late aj0		708
1109	value nn1		708
1110	seem vvb		706
1111	pence nn0		705
1112	conference nn1		702
1113	item nn1		702
1114	little av0		701
1115	middle nn1		700
1116	safety nn1		700
1117	bloke nn1		698
1118	expect vvi		698
1119	private aj0		698
1120	when cjs-avq		698
1121	less dt0		697
1122	love vvb		697
1123	teacher nn1		697
1124	whole nn1		696
1125	wh unc		693
1126	teachers nn2		692
1127	agree vvb		691
1128	reckon vvb		691
1129	tried vvd		691
1130	go vvb-nn1		690
1131	public aj0-nn1		690
1132	names nn2		689
1133	imagine vvi		688
1134	video nn1		688
1135	when avq-cjs		688
1136	environment nn1		686
1137	record nn1		686
1138	ourselves pnx		685
1139	until prp		685
1140	higher ajc		684
1141	silly aj0		684
1142	older ajc		683
1143	walking vvg		683
1144	provide vvi		682
1145	wonderful aj0		681
1146	bar nn1		680
1147	radio nn1		680
1148	role nn1		680
1149	gas nn1		679
1150	bedroom nn1		677
1151	christ np0		675
1152	manager nn1		675
1153	changes nn2		674
1154	film nn1		673
1155	insurance nn1		672
1156	careful aj0		670
1157	european aj0		670
1158	sales nn0		670
1159	personal aj0		669
1160	easier ajc		668
1161	flats nn2		667
1162	long aj0-av0		667
1163	forget vvi		666
1164	serious aj0		666
1165	stuff nn1-vvb		666
1166	double aj0		665
1167	employment nn1		665
1168	chair nn1		663
1169	correct aj0		662
1170	set nn1		662
1171	advice nn1		661
1172	loads nn2		661
1173	place nn1-vvb		661
1174	shops nn2		661
1175	subject nn1		661
1176	dave np0		660
1177	da unc		660
1178	however av0		660
1179	outside av0		660
1180	control nn1		659
1181	east nn1		659
1182	history nn1		659
1183	whereas cjs		659
1184	accept vvi		658
1185	buy vvb		657
1186	ours pnp		657
1187	nature nn1		655
1188	deal vvi		654
1189	eyes nn2		654
1190	the unc		654
1191	appropriate aj0		653
1192	several dt0		653
1193	upstairs av0		651
1194	dead aj0		650
1195	guy nn1		650
1196	longer av0		650
1197	parts nn2		649
1198	president nn1		649
1199	ring vvi		648
1200	further ajc		647
1201	greater np0		647
1202	twice av0		646
1203	positive aj0		644
1204	weight nn1		644
1205	busy aj0		643
1206	milk nn1		643
1207	ideas nn2		642
1208	look nn1-vvb		642
1209	thinks vvz		642
1210	practice nn1		641
1211	second nn1		641
1212	surely av0		641
1213	james np0		639
1214	since prp		636
1215	europe np0		633
1216	drink nn1		632
1217	watching vvg		631
1218	conversation nn1		630
1219	horse nn1		630
1220	comments nn2		629
1221	contract nn1		629
1222	honest aj0		629
1223	kept vvd		628
